21,21
70,49
203,133
445,242
627,182
686,59
689,3
690,1
691,1
710,19
752,42
796,44
797,1
803,6
861,58
863,2
955,92
1033,78
1054,21
1098,44
1119,21
1140,21
1179,39
1278,99
1328,50
1347,19
1370,23
1389,19
1398,9
1399,1
1413,14
1438,25
1466,28
1498,32
1505,7
1543,38
1579,36
1594,15
1625,31
1656,31
1728,72
1738,10
1757,19
1812,55
1909,97
1944,35
1945,1
1947,2
2064,117
2143,79
2230,87
2236,6
2284,48
2301,17
2320,19
2348,28
2458,110
2495,37
2592,97
2726,134
2863,137
2889,26
2914,25
2932,18
2964,32
2972,8
2995,23
3002,7
3009,7
3014,5
3037,23
3060,23
3061,1
3187,126
3212,25
3236,24
3291,55
3339,48
3401,62
3466,65
3500,34
3550,50
3587,37
3604,17
3644,40
3678,34
3712,34
3737,25
3826,89
3842,16
3900,58
3906,6
3957,51
4043,86
4088,45
4103,15
4293,190
4300,7
4332,32
4337,5
4349,12
4358,9
4359,1
4381,22
4471,90
4529,58
4531,2
4591,60
4685,94
4726,41
4864,138
4925,61
5077,152
5097,20
5182,85
5222,40
5262,40
5314,52
5395,81
5397,2
5471,74
5621,150
5710,89
5738,28
5748,10
5860,112
5865,5
5977,112
6045,68
6157,112
6175,18
6243,68
6368,125
6407,39
6430,23
6467,37
6530,63
6545,15
6557,12
6565,8
6566,1
6615,49
6621,6
6679,58
6689,10
6718,29
6771,53
6798,27
7001,203
7063,62
7215,152
7269,54
7305,36
7343,38
7367,24
7397,30
7476,79
7549,73
7550,1
7586,36
7611,25
7638,27
7694,56
7701,7
7702,1
7703,1
7976,273
7993,17
7995,2
8116,121
8182,66
8263,81
8293,30
8298,5
8488,190
8495,7
8553,58
8714,161
8723,9
8749,26
8750,1
8766,16
8773,7
8814,41
8844,30
8878,34
8939,61
8954,15
8989,35
9035,46
9079,44
9081,2
9094,13
9126,32
9127,1
9128,1
9129,1
9130,1
9131,1
9149,18
9244,95
9269,25
9285,16
9305,20
9356,51
9445,89
9474,29
9551,77
9585,34
9606,21
9641,35
9642,1
9669,27
9713,44
9750,37
9771,21
9810,39
9913,103
9951,38
9980,29
10008,28
10015,7
10059,44
10064,5
10078,14
10196,118
10264,68
10280,16
10390,110
10405,15
10407,2
10410,3
10425,15
10519,94
10540,21
10603,63
10610,7
10611,1
10616,5
10623,7
10671,48
10739,68
10880,141
10894,14
10927,33
10995,68
11081,86
11190,109
11218,28
11276,58
11326,50
11346,20
11564,218
11585,21
11601,16
11611,10
11652,41
11704,52
11722,18
11723,1
11763,40
11792,29
11994,202
12028,34
12220,192
12245,25
12263,18
12274,11
12301,27
12337,36
12362,25
12414,52
12415,1
12416,1
12552,136
12562,10
12578,16
12666,88
12742,76
12748,6
12753,5
12754,1
12755,1
12885,130
13301,416
13333,32
13495,162
13543,48
13596,53
13662,66
13708,46
13750,42
13776,26
13868,92
13897,29
14099,202
14113,14
14147,34
14182,35
14187,5
14303,116
14312,9
14318,6
14335,17
14360,25
14369,9
14391,22
14410,19
14422,12
14439,17
14448,9
14475,27
14549,74
14585,36
14657,72
14665,8
14695,30
14722,27
14775,53
14924,149
14984,60
15069,85
15144,75
15145,1
15146,1
15149,3
15229,80
15378,149
15404,26
15417,13
15418,1
15419,1
15466,47
15472,6
15516,44
15539,23
15617,78
15687,70
15730,43
15755,25
15756,1
15845,89
15920,75
15923,3
16026,103
16102,76
16103,1
16104,1
16107,3
16153,46
16316,163
16363,47
16389,26
16420,31
16505,85
16518,13
16530,12
16549,19
16563,14
16574,11
16587,13
16598,11
16599,1
16613,14
16680,67
16714,34
16760,46
16764,4
16780,16
16843,63
16844,1
16865,21
16895,30
16914,19
16925,11
16952,27
16975,23
16985,10
16994,9
17005,11
17012,7
17034,22
17060,26
17069,9
17070,1
17072,2
17122,50
17177,55
17205,28
17221,16
17348,127
17363,15
17384,21
17430,46
17468,38
17482,14
17483,1
17560,77
17582,22
17729,147
17740,11
17779,39
17786,7
17787,1
17800,13
17805,5
17883,78
17899,16
17914,15
17923,9
17972,49
18080,108
18103,23
18104,1
18115,11
18199,84
18205,6
18338,133
18385,47
18429,44
18460,31
18524,64
18545,21
18572,27
18606,34
18649,43
18677,28
18711,34
18728,17
18748,20
18832,84
18937,105
18999,62
19002,3
19096,94
19182,86
19272,90
19470,198
19513,43
19655,142
19725,70
19730,5
19918,188
19919,1
19926,7
19930,4
19931,1
19932,1
19933,1
19950,17
19962,12
19968,6
19975,7
19976,1
19977,1
19978,1
19979,1
19980,1
19987,7
19988,1
19989,1
19990,1
20000,10
20013,13
20014,1
20015,1
20016,1
20017,1
20018,1
20019,1
20020,1
20021,1
20022,1
20023,1
20024,1
20025,1
20026,1
20027,1
20037,10
20038,1
20039,1
20040,1
20041,1
20042,1
20043,1
20045,2
20046,1
20047,1
20048,1
20049,1
20050,1
20051,1
20052,1
20053,1
20054,1
20055,1
20056,1
20057,1
20058,1
20059,1
20060,1
20061,1
20062,1
20063,1
20064,1
20065,1
20066,1
20067,1
20068,1
20069,1
20070,1
20071,1
20072,1
20073,1
20074,1
20077,3
20103,26
20198,95
20239,41
20249,10
20360,111
20449,89
20572,123
20701,129
20703,2
20756,53
20792,36
20807,15
20848,41
20917,69
21018,101
21019,1
21057,38
21078,21
21117,39
21177,60
21203,26
21234,31
21279,45
21336,57
21365,29
21402,37
21489,87
21568,79
21794,226
21838,44
21849,11
21852,3
21892,40
21905,13
21983,78
21990,7
22007,17
22104,97
22146,42
22153,7
22154,1
22190,36
22193,3
22307,114
22418,111
22423,5
22424,1
22450,26
22601,151
22624,23
22937,313
23005,68
23037,32
23137,100
23173,36
23195,22
23318,123
23638,320
23738,100
23754,16
23811,57
23913,102
23945,32
23956,11
23957,1
23958,1
23959,1
24052,93
24130,78
24177,47
24178,1
24347,169
24360,13
24371,11
24372,1
24379,7
24433,54
24475,42
24507,32
24629,122
24693,64
24697,4
24788,91
24825,37
24846,21
24923,77
24997,74
25019,22
25103,84
25116,13
25142,26
25244,102
25269,25
25304,35
25342,38
25350,8
25424,74
25438,14
25499,61
25510,11
25594,84
25605,11
25611,6
25626,15
25627,1
25660,33
25664,4
25689,25
25940,251
25944,4
25947,3
26005,58
26065,60
26093,28
26206,113
26324,118
26337,13
26351,14
26360,9
26609,249
26625,16
26717,92
26904,187
26994,90
27056,62
27179,123
27235,56
27394,159
27532,138
27550,18
27579,29
27692,113
27731,39
27773,42
27852,79
27897,45
27933,36
27934,1
27935,1
27959,24
27995,36
28016,21
28079,63
28109,30
28121,12
28140,19
28307,167
28377,70
28408,31
28453,45
28480,27
28514,34
28822,308
28858,36
28873,15
28880,7
28900,20
28904,4
28913,9
28971,58
28987,16
29291,304
29303,12
29304,1
29475,171
29529,54
29668,139
29676,8
29818,142
29864,46
29929,65
29939,10
30041,102
30093,52
30130,37
30180,50
30484,304
30536,52
30606,70
30645,39
30649,4
30710,61
30797,87
31001,204
31228,227
31267,39
31347,80
31553,206
31566,13
31604,38
31726,122
31736,10
31877,141
31895,18
32117,222
32147,30
32197,50
32227,30
32230,3
32231,1
32233,2
32268,35
32291,23
32321,30
32326,5
32327,1
32343,16
32344,1
32345,1
32346,1
32347,1
32489,142
32506,17
32517,11
32577,60
32625,48
32713,88
32748,35
32883,135
32884,1
33005,121
33226,221
33322,96
33384,62
33489,105
33620,131
33694,74
33718,24
33764,46
33791,27
33811,20
33841,30
33876,35
33935,59
33938,3
34171,233
34175,4
34201,26
34240,39
34306,66
34444,138
34454,10
34525,71
34572,47
34629,57
34708,79
34945,237
34965,20
35067,102
35074,7
35120,46
35122,2
35197,75
35274,77
35275,1
35349,74
35350,1
35364,14
35540,176
35579,39
35832,253
35838,6
35844,6
35883,39
35891,8
35898,7
35978,80
36059,81
36122,63
36154,32
36165,11
36212,47
36240,28
36266,26
36289,23
36348,59
36360,12
36371,11
36405,34
36529,124
36604,75
36633,29
36640,7
36656,16
36712,56
36729,17
36777,48
36780,3
36781,1
36782,1
36783,1
36784,1
36805,21
36864,59
36882,18
36885,3
36904,19
37010,106
37059,49
37085,26
37125,40
37148,23
37191,43
37262,71
37401,139
37412,11
37628,216
37706,78
37768,62
37830,62
37841,11
37863,22
37869,6
37911,42
37974,63
37975,1
38058,83
38080,22
38160,80
38300,140
38337,37
38363,26
38560,197
38592,32
38618,26
38629,11
38646,17
38655,9
38751,96
38760,9
38794,34
38816,22
38912,96
38998,86
39071,73
39072,1
39109,37
39270,161
39315,45
39360,45
39434,74
39438,4
39439,1
39448,9
39500,52
39546,46
39735,189
39763,28
39808,45
39960,152
39986,26
40090,104
40125,35
40126,1
40144,18
40145,1
40146,1
40158,12
40160,2
40161,1
40181,20
40190,9
40270,80
40390,120
40419,29
40435,16
40483,48
40507,24
40508,1
40510,2
40511,1
40525,14
40539,14
40556,17
40590,34
40602,12
40612,10
40657,45
40680,23
40862,182
40871,9
40877,6
40989,112
41013,24
41027,14
41160,133
41192,32
41286,94
41364,78
41487,123
41507,20
41660,153
41751,91
41824,73
41852,28
42000,148
42106,106
42118,12
42141,23
42314,173
42329,15
42360,31
42370,10
42414,44
42448,34
42468,20
42524,56
42591,67
42637,46
42664,27
42724,60
42809,85
42880,71
43037,157
43076,39
43105,29
43155,50
43177,22
43221,44
43285,64
43311,26
43413,102
43437,24
43443,6
43467,24
43486,19
43521,35
43581,60
43631,50
43637,6
43663,26
43686,23
43724,38
43758,34
43771,13
43784,13
43785,1
43820,35
43901,81
43948,47
43949,1
43950,1
43953,3
44165,212
44172,7
44217,45
44287,70
44324,37
44345,21
44390,45
44424,34
44483,59
44670,187
44672,2
44673,1
44708,35
44768,60
44814,46
44856,42
44927,71
45081,154
45090,9
45164,74
45172,8
45275,103
45331,56
45369,38
45375,6
45382,7
45395,13
45435,40
45452,17
45493,41
45591,98
45611,20
45633,22
45686,53
45708,22
45729,21
45755,26
45962,207
45985,23
46070,85
46308,238
46359,51
46394,35
46403,9
46404,1
46424,20
46615,191
46640,25
46679,39
46703,24
46746,43
46749,3
46780,31
46787,7
46805,18
46833,28
46887,54
46894,7
46907,13
46908,1
46909,1
46910,1
46911,1
46952,41
46969,17
47014,45
47016,2
47025,9
47067,42
47076,9
47096,20
47107,11
47134,27
47139,5
47140,1
47177,37
47187,10
47231,44
47276,45
47309,33
47321,12
47351,30
47360,9
47440,80
47559,119
47661,102
47703,42
47711,8
47778,67
47837,59
47875,38
47903,28
47962,59
47972,10
47990,18
47999,9
48020,21
48058,38
48059,1
48148,89
48182,34
48183,1
48209,26
48244,35
48259,15
48285,26
48289,4
48301,12
48307,6
48309,2
48310,1
48335,25
48459,124
48519,60
48566,47
48570,4
48674,104
48785,111
48808,23
48828,20
48931,103
48963,32
49052,89
49059,7
49060,1
49128,68
49172,44
49195,23
49239,44
49240,1
49241,1
49242,1
49391,149
49397,6
49521,124
49603,82
49701,98
49750,49
49907,157
50136,229
50213,77
50402,189
50429,27
50430,1
50431,1
50591,160
50592,1
50638,46
50730,92
50789,59
50806,17
50882,76
50889,7
50895,6
50896,1
51249,353
51380,131
51487,107
51515,28
51645,130
51725,80
51735,10
51743,8
51901,158
52023,122
52047,24
52065,18
52321,256
52323,2
52349,26
52423,74
52453,30
52470,17
52471,1
52503,32
52629,126
52645,16
52757,112
52758,1
52759,1
52999,240
53099,100
53110,11
53111,1
53112,1
53117,5
53118,1
53119,1
53150,31
53154,4
53195,41
53245,50
53404,159
53456,52
53541,85
54029,488
54046,17
54271,225
54419,148
54442,23
54635,193
54636,1
